date,cpaltt01usm659n,unemp,t,covid
1991-04-01,4.8875098,6.5,376,0
1991-05-01,4.9535604,6.6999998,377,0
1991-06-01,4.69592,7,378,0
1991-07-01,4.4478526,6.8000002,379,0
1991-08-01,3.799392,6.5999999,380,0
1991-09-01,3.3911078,6.5,381,0
1991-10-01,2.9213483,6.5,382,0
1991-11-01,2.9895365,6.6999998,383,0
1991-12-01,3.064275,6.9000001,384,0
1992-01-01,2.6002972,8.1000004,385,0
1992-02-01,2.8189912,8.1999998,386,0
1992-03-01,3.1851852,7.8000002,387,0
1992-04-01,3.1804733,7.1999998,388,0
1992-05-01,3.0235989,7.3000002,389,0
1992-06-01,3.0882354,8,390,0
1992-07-01,3.1571219,7.6999998,391,0
1992-08-01,3.147877,7.4000001,392,0
1992-09-01,2.9883382,7.3000002,393,0
1992-10-01,3.2023289,6.9000001,394,0
1992-11-01,3.0478954,7.0999999,395,0
1992-12-01,2.9006526,7.0999999,396,0
1993-01-01,3.2585084,8,397,0
1993-02-01,3.2467532,7.8000002,398,0
1993-03-01,3.0868628,7.4000001,399,0
1993-04-01,3.2258065,6.9000001,400,0
1993-05-01,3.2211883,6.8000002,401,0
1993-06-01,2.9957204,7.1999998,402,0
1993-07-01,2.7758007,7,403,0
1993-08-01,2.7679205,6.5999999,404,0
1993-09-01,2.6893134,6.4000001,405,0
1993-10-01,2.7503526,6.4000001,406,0
1993-11-01,2.6760564,6.1999998,407,0
1993-12-01,2.7484143,6.0999999,408,0
1994-01-01,2.5245442,7.3000002,409,0
1994-02-01,2.5157232,7.0999999,410,0
1994-03-01,2.5069637,6.8000002,411,0
1994-04-01,2.3611112,6.1999998,412,0
1994-05-01,2.2884881,5.9000001,413,0
1994-06-01,2.4930749,6.1999998,414,0
1994-07-01,2.7700832,6.1999998,415,0
1994-08-01,2.9005525,5.9000001,416,0
1994-09-01,2.9634736,5.5999999,417,0
1994-10-01,2.6080987,5.4000001,418,0
1994-11-01,2.6748972,5.3000002,419,0
1994-12-01,2.6748972,5.0999999,420,0
1995-01-01,2.8043776,6.1999998,421,0
1995-02-01,2.8629856,5.9000001,422,0
1995-03-01,2.8532608,5.6999998,423,0
1995-04-01,3.0529172,5.5999999,424,0
1995-05-01,3.1864407,5.5,425,0
1995-06-01,3.0405405,5.8000002,426,0
1995-07-01,2.7628033,5.9000001,427,0
1995-08-01,2.6174498,5.5999999,428,0
1995-09-01,2.5435073,5.4000001,429,0
1995-10-01,2.8093646,5.1999998,430,0
1995-11-01,2.6052103,5.3000002,431,0
1995-12-01,2.5384102,5.1999998,432,0
1996-01-01,2.7278776,6.3000002,433,0
1996-02-01,2.6507621,6,434,0
1996-03-01,2.8401585,5.8000002,435,0
1996-04-01,2.8966424,5.4000001,436,0
1996-05-01,2.890933,5.4000001,437,0
1996-06-01,2.7540984,5.5,438,0
1996-07-01,2.9508197,5.5999999,439,0
1996-08-01,2.8776979,5.0999999,440,0
1996-09-01,3.0026109,5,441,0
1996-10-01,2.9928432,4.9000001,442,0
1996-11-01,3.2552083,5,443,0
1996-12-01,3.3224757,5,444,0
1997-01-01,3.0440414,5.9000001,445,0
1997-02-01,3.0342157,5.6999998,446,0
1997-03-01,2.7617214,5.5,447,0
1997-04-01,2.4952016,4.8000002,448,0
1997-05-01,2.2349937,4.6999998,449,0
1997-06-01,2.2973835,5.1999998,450,0
1997-07-01,2.2292993,5,451,0
1997-08-01,2.2250476,4.8000002,452,0
1997-09-01,2.1546261,4.6999998,453,0
1997-10-01,2.0846493,4.4000001,454,0
1997-11-01,1.8284993,4.3000002,455,0
1997-12-01,1.7023959,4.4000001,456,0
1998-01-01,1.5713388,5.1999998,457,0
1998-02-01,1.4411027,5,458,0
1998-03-01,1.375,5,459,0
1998-04-01,1.4357054,4.0999999,460,0
1998-05-01,1.686446,4.1999998,461,0
1998-06-01,1.6843419,4.6999998,462,0
1998-07-01,1.682243,4.6999998,463,0
1998-08-01,1.6169155,4.5,464,0
1998-09-01,1.4888338,4.4000001,465,0
1998-10-01,1.4851485,4.1999998,466,0
1998-11-01,1.5479876,4.0999999,467,0
1998-12-01,1.6119033,4,468,0
1999-01-01,1.6707921,4.8000002,469,0
1999-02-01,1.6059296,4.6999998,470,0
1999-03-01,1.7262639,4.4000001,471,0
1999-04-01,2.2769232,4.0999999,472,0
1999-05-01,2.0884521,4,473,0
1999-06-01,1.9631902,4.5,474,0
1999-07-01,2.1446078,4.5,475,0
1999-08-01,2.2643819,4.1999998,476,0
1999-09-01,2.6283619,4.0999999,477,0
1999-10-01,2.5609756,3.8,478,0
1999-11-01,2.6219511,3.8,479,0
1999-12-01,2.6845639,3.7,480,0
2000-01-01,2.7388923,4.5,481,0
2000-02-01,3.2218845,4.4000001,482,0
2000-03-01,3.7575758,4.3000002,483,0
2000-04-01,3.0685921,3.7,484,0
2000-05-01,3.1889291,3.8,485,0
2000-06-01,3.7304451,4.0999999,486,0
2000-07-01,3.6592681,4.1999998,487,0
2000-08-01,3.4111311,4.0999999,488,0
2000-09-01,3.4544373,3.8,489,0
2000-10-01,3.4482758,3.5999999,490,0
2000-11-01,3.4462271,3.7,491,0
